id|title|text
260|<i>Electrona subaspera</i>|This species is usually found between 0–200 metres.
261|Thomas N. Hastings|On January 4, 1899 Hastings was chosen as the President of the New Hampshire Senate.
262|<i>Tommyland: The Ride</i>|Tommyland: The Ride was released in conjunction with Lee's book of the same name, as well as his then new reality television series Tommy Lee Goes to College, which premiered a week after the album was released.
263|University of La Rioja|In eighteen years of history, University of La Rioja has taught more than 14,000 students.
264|Ti Point|Ti Point Reptile Park is the only zoo in New Zealand specialising in reptiles.
265|Hatfield, Arkansas|The median age was 39 years.
266|Luke Schoolcraft|He appeared in numerous minstrel shows throughout the North after the American Civil War.
267|Yoann Kongolo|He lost the fight at the tail end of the second round, by TKO, as the ringside doctor stopped the fight.
268|<i>John the Bastard</i> (film)|He becomes the lover of his stepbrother's wife and when he challenges him to a duel he kills him.
269|Rabah Bitat|He is survived by his wife Zohra Drif, a member of the Council of the Nation.
270|Eglon van der Neer|Van der Neer thus settled in Düsseldorf and remained there for these last years of his life.
271|<i>A Mother's Confession</i>|Henry Patterson, played by Otto Kruger, is married to Lola Fred Warren.
272|Shatha Hassoun|In late July 2009, Shatha achieved her life dream and the dream of fans when she went to her country's capital Baghdad and sang there in two big charity concerts for the children of Iraq, the first one in Al-elowea club and second one in Hunting Club, then she hold a press conference in Baghdad where she talked about her joyful to be a first Iraqi and Arab singer who visited Baghdad after war 2003 despite the unstable security in Baghdad and Predict murder in 2009 from one of Astrologer.
273|<i>The Road</i> (2015 film)|Rana decides to get away from work but now doesn't know what to do with her life.
274|Emily Morse|Morse contributes frequently to many major online publications including Glamour, In 2014, Morse became the host of the regularly-recurring Sexual Health Expo.
275|2007 Utah Grand Prix|It took place on May 19, 2007.
276|<i>Catocala intacta</i>|It is found in Japan and Taiwan.
277|<i>Dolemite</i>|Dolemite was released to DVD on September 13, 2005, by Xenon Pictures and also as part of a boxed set.
278|Colonel Ebirt|The athletic department decided to retire Ebirt upon the conclusion of the 2005–06 school year.
279|Dark 'n' Stormy|Gosling Brothers uses this registration to prohibit US marketing of a drink under the name Dark 'N Stormy, or a related, confusing name, unless it is made with Gosling Black Seal rum.
280|E. M. Forster|Some critics have argued that a general shift from heterosexual to homosexual love can be observed through the course of his writing career.
281|Radical anion|The reduction potential of alkali metal naphthalene salts is about 3.
282|<i>Nine Dead</i>|However, when shown a line-up, Mrs.
283|Joo Koon MRT station|On 15 November 2017 at approximately 8.
284|Marcus Sears Bell Farm|The Bell-Tierney Farmstead is now the central site of the New Richmond Heritage Center.
285|Jasper County Courthouse (Georgia)|It was listed on the National Register of Historic Places in 1980.
286|Nic Jones|Nic Jones was born on 9 January 1947 in Orpington, London, England, In 1968, Jones married Julia Seymour and they eventually had three children together – Daniel , Helen and Joe.
287|Mesilla, New Mexico|–Mexico border south of the village of Doña Ana, placing it in the United States.
288|Great Britain at the 2010 Winter Olympics|Curling events at the 2010 Winter Olympics were in the form of a round-robin tournament; each nation played all others in a group stage with the top four qualifying for medal playoffs.
289|Edwin M. Truell|He joined the 12th Wisconsin Volunteer Infantry Regiment from Mauston, Wisconsin For extraordinary heroism on 21 July 1864, while serving with Company E, 12th Wisconsin Infantry, in action at Atlanta, Georgia.
290|Doliana|The village is situated on the left bank of the river Tanos, on the south slopes of mountain Zavitsa.
291|Route 7 (Hong Kong)|Route 7 begins at Wan Po Road in Tseung Kwan O and travels west to Kwun Tong via the Tseung Kwan O Tunnel.
292|Kirkdale railway station|To the east is a cluster of two tunnels.
293|Coppenhall|Coppenhall lies 2 kilometres in the west.
294|El Chorro|The gorge runs from the outlet of the Embalse del Gaitanejo to El Chorro.
295|Pequonnock River|They were guided in their endeavors by Andrew Tait, who had learned the art of paper making in Scotland.
296|Matlock railway station|The station building is occupied by Peak Rail's transport book shop and a limited station buffet.
297|Oregon State Hospital|The rails are no longer evident in many places and the flangeways are filled in, leaving only the head of the rail exposed.
298|Garrick Ohlsson|Among his many recordings, Ohlsson His unusually vast repertoire includes no fewer than eighty concertos.
299|Bermuda at the 2015 World Aquatics Championships|Bermuda competed at the 2015 World Aquatics Championships in Kazan, Russia from 24 July to 9 August 2015.
300|Mount Fox (Queensland)|Mount Fox is a dormant volcano located in the locality of Mount Fox, 50 km west of Ingham, Shire of Hinchinbrook, Queensland, Australia.
301|<i>After Sex</i> (2007 film)|Through dialogue and compromising situations, the film goes from the beginning of a relationship to the aftermath of one, and examines every stage in between.
302|<i>Schoenus arenicola</i>|Schoenus arenicola is a species of sedge endemic to the south-west coast of South Africa.
303|Moto Hagio|Few of her works appear in English, but here are some that do: A, A' and They Were Eleven have science fiction settings, and both They Were Eleven and X+Y include transgender elements.
304|<i>King of the Underworld</i> (1939 film)|The blind gangsters return fire, but soon give themselves up.
305|Agnès de La Barre de Nanteuil|She pardoned the resistance worker who had revealed her name and ended her life in prayer, accompanied by 35 women from various parts of France who were enchanted by her bravery.
306|Aldo da Rosa|This gave him the opportunity to attend Stanford for the first time and to study electrical engineering.
307|Babrak Karmal|Mohammad lost his position as interior minister, Abdul Qadir was demoted, and Karmal was put under government surveillance.
308|Jean-Léon Gérôme|In 1858, he helped to decorate the Paris house of Prince Napoléon Joseph Charles Paul Bonaparte in the Pompeian style.
309|Chondroblast|Differentiation of chondroblasts is favored in an environment with high compressive force and low partial oxygen pressure which combine to inhibit protein 3, a protein which inhibits cartilage differentiation.
310|Hansa Jivraj Mehta|She was even arrested and sent to jail by the British along with her husband in 1932.
311|Rye House power station|The 128 MW coal-fired Rye House power station was built by the British Electricity Authority and was commissioned in 1951.
312|Halid Bešlić|On 10 March 2009, Bešlić left his gas station at around 4 in the morning, and ran his Škoda Superb off the road, due to icy conditions, and crashed.
313|HMS <i>Triumph</i> (1764)|Triumph was on harbour service from 1813 but was not broken up until 1850.
314|<i>Flute 'n the Blues</i>|Scott Yanow, writing for AllMusic, stated: The basic material are given spirited and swinging treatment by the underrated group.
315|Bernard Ziegler|This feature is considered by many to be highly beneficial in avoiding unusual altitudes in flight and in safely maximizing the effectiveness of evasive maneuvers in response to GPWS warnings.
316|Werner Kreindl|Werner Kreindl was an Austrian television actor.
317|Anja Knauer|Anja Knauer is a German actress who has played the leading female role in some German films.
318|<i>Humboldt Beginnings</i>|Two additional rappers, Spaceboyboogie X and Greg Smooche, appear on several tracks.
319|BLK Jeez|After wrestling on the independent circuit for three years, Sabian made his Combat Zone Wrestling debut on May 4, 2004 with a victory over Sean Bishop.
320|Moon Publications|The company started with travel guides to Asia and later also published guides to the Americas.
321|<i>Psilocorsis reflexella</i>|They skeletonize the leaves of their host plant.
322|<i>Matourea</i>|It is the correct name for former genus Achetaria The name Matourea refers to the town of Matoury.
323|Planet Hollywood|The perpetrators of the bombing stated it was in retaliation for American air-raids conducted in Sudan and Afghanistan.
324|Diet of Worms|On 17 April, the imperial marshal, Ulrich von Pappenheim, and the herald, Caspar Sturm, came for Luther.
325|James Delgrosso|He taught driver's education at Liberty High School in Bethlehem from 1965 to 2003.
326|Philmont Worsted Company Mill|Unusually for the Guerins, the mill used the English system, instead of the French system of their other operations, for the production of worsted wool yarns.
327|Natural selection|Selective sweeps occur when an allele becomes more common in a population as a result of positive selection.
328|Nerida Wilson|Wilson has participated in numerous deep sea and Antarctic expeditions, using traditional methods and Remotely Operated Vehicles to obtain samples.
329|Auburn Tigers baseball|The Hitchcock brothers were popular athletes in the 1930s.
330|Kim Dae-eui|He started his career as a professional footballer at Seongnam Ilhwa Chunma.
331|Alaminos, Guadalajara|Alaminos is a municipality in the province of Guadalajara, Castile-La Mancha, Spain.
332|Modest tiger parrot|The modest tiger parrot is a species of parrot in the family Psittaculidae.
